Subject,Detailed_Condition,Score,Trials,Lexical.ACC,Lexical.RT_mean,Lexical.RT_sd,Penalty,Reward,TestDuration,Load_Condition,Speed_Condition,Lexical.Correct_Trials,Lexical.Correct_RT_mean,Lexical.Correct_RT_sd,Lexical.Incorrect_Trials,Lexical.Incorrect_RT_mean,Lexical.Incorrect_RT_sd,RT_sec,RewardRate,Payoff,a,v,t0
19001,Load_Accuracy_Max,820,41,1,887.975609756098,340.085686835309,80,20,60,Load,Accuracy_Max,41,887.975609756098,340.085686835309,0,NA,NA,0.887975609756098,22.523141154173636,80,1.585317,3.282851,0.534277
19001,Load_Accuracy_Mid,680,46,0.91304347826087,721.5,272.852727879182,40,20,60,Load,Accuracy_Mid,42,735.857142857143,280.163764951211,4,570.75,104.030043737374,0.7215,20.488716140890084,40,1.145382,3.914157,0.441757
19001,Load_Neutral,830,45.5,0.956280193236715,726.424637681159,244.702107790458,20,20,60,Load,Neutral,87,723.436781609195,247.22937758893,4,788.5,164.921193301528,0.726424637681159,25.12470913394238,20,1.342996,4.217119,0.47489
19001,Load_Speed_Max,845,46,0.934782608695652,704.108695652174,271.23472641163403,5,20,60,Load,Speed_Max,43,696.488372093023,264.509462617037,3,813.333333333333,408.500101999171,0.704108695652174,26.089104325542614,5,1.626254,4.199642,0.411878
19001,Load_Speed_Mid,780,42,0.952380952380952,853.119047619048,269.645856487768,10,20,60,Load,Speed_Mid,40,861.35,273.703709351592,2,688.5,50.2045814642449,0.853119047619048,21.768859367586703,10,1.245267,2.929476,0.572796
19001,NoLoad_Accuracy_Max,880,54,0.962962962962963,551.740740740741,110.950810992161,80,20,60,NoLoad,Accuracy_Max,52,553.557692307692,112.530155167498,2,504.5,44.5477272147525,0.551740740740741,29.536148217761962,80,1.111923,5.134629,0.407427
19001,NoLoad_Accuracy_Mid,860,55,0.927272727272727,552.236363636364,136.292708377603,40,20,60,NoLoad,Accuracy_Mid,51,557.56862745098,140.030318845879,4,484.25,30.1371863318393,0.552236363636364,28.31462153886671,40,1.211085,7.225208,0.415952
19001,NoLoad_Neutral,870,53.5,0.906468531468531,566.392132867133,153.87277573611,20,20,60,NoLoad,Neutral,97,559.103092783505,141.81182400574,10,628.3,277.945258399323,0.566392132867133,28.705803480069335,20,1.09123,4.754383,0.395616
19001,NoLoad_Speed_Max,1045,56,0.946428571428571,525.785714285714,112.150501848788,5,20,60,NoLoad,Speed_Max,53,529.22641509434,113.962315213514,3,465,48.5695377783236,0.525785714285714,35.49110175247928,5,0.915098,5.435746,0.409523
19001,NoLoad_Speed_Mid,930,54,0.907407407407407,568.777777777778,146.549839119366,10,20,60,NoLoad,Speed_Mid,49,579.979591836735,148.990700184597,5,459,39.8559907667593,0.568777777777778,30.27935143582727,10,0.887152,4.046769,0.407113
19002,Load_Accuracy_Max,680,39,0.974358974358974,946.410256410256,404.239423449749,80,20,60,Load,Accuracy_Max,38,949.342105263158,409.245269504321,1,835,NA,0.946410256410256,18.423191547006205,80,1.942935,2.032534,0.436825
19002,Load_Accuracy_Mid,560,37,0.918918918918919,1024.45945945946,545.951188019313,40,20,60,Load,Accuracy_Mid,34,957.147058823529,343.733611827791,3,1787.33333333333,1570.22811506269,1.02445945945946,14.773776546629726,40,2.065315,2.118881,0.397077
19002,Load_Neutral,820,42,0.98780487804878,844.647192285876,288.304769551432,20,20,60,Load,Neutral,83,840.168674698795,289.491978037772,1,1134,NA,0.844647192285876,23.101000394194383,20,2.152192,3.329726,0.445079
19002,Load_Speed_Max,890,47,0.957446808510638,713.063829787234,157.463371069249,5,20,60,Load,Speed_Max,45,705.133333333333,149.968724012103,2,891.5,290.620887067671,0.713063829787234,26.556066121620805,5,1.202322,4.628182,0.530609
19002,Load_Speed_Mid,870,45,0.977777777777778,772.644444444444,227.741495755361,10,20,60,Load,Speed_Mid,44,769.022727272727,229.059806208545,1,932,NA,0.772644444444444,25.022289970951157,10,1.618001,3.374497,0.462828
19002,NoLoad_Accuracy_Max,1020,51,1,624.921568627451,123.266839520977,80,20,60,NoLoad,Accuracy_Max,51,624.921568627451,123.266839520977,0,NA,NA,0.6249215686274511,32.00401619026701,80,1.138755,5.263502,0.478744
19002,NoLoad_Accuracy_Mid,920,49,0.979591836734694,672.204081632653,152.803247619261,40,20,60,NoLoad,Accuracy_Mid,48,660.979166666667,132.439868263577,1,1211,NA,0.672204081632653,27.931264800534347,40,1.259451,4.311058,0.506683
19002,NoLoad_Neutral,980,53,0.962264150943396,590.594339622642,124.411237649641,20,20,60,NoLoad,Neutral,102,593.343137254902,126.814395839117,4,520.5,125.712635270551,0.590594339622642,31.30840375061894,20,1.251114,4.605763,0.427532
19002,NoLoad_Speed_Max,985,53,0.943396226415094,591.811320754717,117.833823112788,5,20,60,NoLoad,Speed_Max,50,580.7,108.93796212449,3,777,125.391387264038,0.591811320754717,31.40343046610979,5,1.087645,4.878409,0.468669
19002,NoLoad_Speed_Mid,1020,51,1,615.921568627451,117.379869336655,10,20,60,NoLoad,Speed_Mid,51,615.921568627451,117.379869336655,0,NA,NA,0.6159215686274511,32.47166687889978,10,1.171888,5.231359,0.485517
19003,Load_Accuracy_Max,900,45,1,757.066666666667,129.336488558826,80,20,60,Load,Accuracy_Max,45,757.066666666667,129.336488558826,0,NA,NA,0.757066666666667,26.417752729834437,80,1.219988,5.041393,0.581211
19003,Load_Accuracy_Mid,1000,50,1,626.76,116.041435245681,40,20,60,Load,Accuracy_Mid,50,626.76,116.041435245681,0,NA,NA,0.62676,31.910141042823412,40,1.02307,5.117404,0.488714
