Subject,posterior_alpha,posterior_beta,frontal_theta,frontal_theta_beta_ratio,global_alpha,global_beta,IAF,aperiodic_exponent,n_bad_channels,n_epochs_total,n_epochs_kept,flag_low_epochs,qc_flag,processing_failed,error
19011,-19.71085782538794,-23.316234889182038,-21.995951253490208,1.9570663756464022,-20.516671506830782,-23.70803695621592,10.0,1.7228263514242705,1.0,722.0,691.0,False,False,,
19014,-22.30977438605607,-23.211162575416434,-22.025527783772674,1.8589940186866514,-22.661629189038102,-23.595754030575474,7.0,1.5486565721120682,1.0,589.0,370.0,False,False,,
19015,-21.644720494924165,-23.079165243817677,-20.12824855574596,2.90485908795711,-21.911792922516035,-23.215004930098274,10.5,1.5092394769618513,0.0,1135.0,159.0,False,False,,
19016,-20.65454073951259,-23.23503324622083,-21.65355544617607,1.945823191219354,-21.081422188980483,-23.41594276944114,9.5,1.812838169892162,2.0,589.0,544.0,False,False,,
19018,-20.813331424481134,-23.202004474552957,-21.91680598324179,2.032088301835298,-21.356059096907224,-23.390163410347093,10.0,1.1355121241132424,1.0,589.0,575.0,False,False,,
19019,-21.06671509810838,-23.09693570032583,-21.555299642881728,1.7907777567734442,-21.448602174242357,-23.1492657213805,10.0,1.466239357160114,1.0,589.0,577.0,False,False,,
19021,-21.11407696721804,-23.4487731824512,-21.7622502744803,1.318638452864949,-21.527761994386836,-23.351752225997505,10.0,1.446238934315378,1.0,589.0,561.0,False,False,,
19022,-22.578884614103718,-24.19161315402385,-21.79596508932032,2.4757052351125672,-22.638925119532377,-24.108967698149467,7.0,1.6043714937676137,1.0,589.0,567.0,False,False,,
19024,-18.923582066963714,-21.75257437394941,-21.06488644609953,1.1108810848781836,-19.41456095108853,-21.9369477542904,10.5,1.286788052978649,0.0,589.0,543.0,False,False,,
19025,-21.610834348670313,-21.87178847992674,-21.776230626197183,1.559886388367076,-22.218574479689675,-22.652223327938948,12.5,0.8359919716404206,0.0,589.0,532.0,False,False,,
19026,-22.305964003894985,-24.047251277029762,-21.279583679969846,2.9446662920974944,-22.67938795815119,-24.081693488170547,7.0,1.8033894151425962,2.0,589.0,359.0,False,False,,
